Product Name,Category Name,Department Name,Product Price
Smart watch ,Sporting Goods,Fitness,327.75
Perfect Fitness Perfect Rip Deck,Cleats,Apparel,59.99000168
Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Golf,39.99000168
Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,50.0
Under Armour Men's Compression EV SL Slide,Electronics,Footwear,44.99000168
Under Armour Women's Micro G Skulpt Running S,Boxing & MMA,Footwear,54.97000122
Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Footwear,99.98999786
Glove It Women's Mod Oval 3-Zip Carry All Gol,Trade-In,Outdoors,21.98999977
Bridgestone e6 Straight Distance NFL San Dieg,Electronics,Outdoors,31.98999977
Columbia Men's PFG Anchor Tough T-Shirt,Shop By Sport,Golf,30.0
Titleist Pro V1x Golf Balls,Electronics,Outdoors,47.99000168
Bridgestone e6 Straight Distance NFL Tennesse,Electronics,Outdoors,31.98999977
Polar FT4 Heart Rate Monitor,Kids' Golf Clubs,Outdoors,89.98999786
ENO Atlas Hammock Straps,Hunting & Shooting,Fan Shop,29.98999977
adidas Men's F10 Messi TRX FG Soccer Cleat,Baseball & Softball,Fitness,59.99000168
Brooks Women's Ghost 6 Running Shoe,Boxing & MMA,Footwear,89.98999786
Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,Apparel,129.9900055
Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,Fan Shop,299.980011
Industrial consumer electronics,Consumer Electronics,Technology,252.8800049
Web Camera,Cameras ,Technology,452.0400085
Dell Laptop,Computers,Technology,1500.0
SOLE E25 Elliptical,Basketball,Fitness,999.9899902
Elevation Training Mask 2.0,Soccer,Fitness,79.98999786
adidas Men's Germany Black Crest Away Tee,Girls' Apparel,Golf,25.0
Team Golf Pittsburgh Steelers Putter Grip,Accessories,Outdoors,24.98999977
Glove It Urban Brick Golf Towel,Trade-In,Outdoors,15.98999977
Team Golf Texas Longhorns Putter Grip,Accessories,Outdoors,24.98999977
Nike Men's Deutschland Weltmeister Winners Bl,Girls' Apparel,Golf,30.0
Team Golf St. Louis Cardinals Putter Grip,Accessories,Outdoors,24.98999977
Summer dresses,Women's Clothing,Apparel,215.8200073
Porcelain crafts,Crafts,Apparel,461.480011
Men's gala suit,Men's Clothing,Apparel,210.8500061
Team Golf Tennessee Volunteers Putter Grip,Accessories,Outdoors,24.98999977
Team Golf San Francisco Giants Putter Grip,Accessories,Outdoors,24.98999977
